"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"quadratic",0.1,2,2,"dCov",1,0,0.323527314854095,10000,10000
50,"quadratic",0.1,2,2,"HHG",1,0,3509.09167096711,10000,10000
50,"quadratic",0.1,2,2,"Genest",1,0,0.0571935502222221,10000,10000
50,"quadratic",0.1,2,2,"MIC",1,0,0.398073219064217,10000,10000
50,"quadratic",0.1,2,1,"B_n",1,0,5.7125781752409,10000,10000
50,"quadratic",0.1,2,1,"P_n",1,0,5.72240509538379,10000,10000
50,"quadratic",0.1,2,1,"Hoeffding",1,0,0.0197076355981801,10000,10000
50,"quadratic",0.1,2,1,"dCov",1,0,0.317723084201223,10000,10000
50,"quadratic",0.1,2,1,"HHG",1,0,3454.84127396333,10000,10000
50,"quadratic",0.1,2,1,"Genest",1,0,0.0557620302222223,10000,10000
50,"quadratic",0.1,2,1,"MIC",1,0,0.397487118828947,10000,10000
50,"quadratic",0.2,2,2,"B_n",1,0,9.2895642392376,10000,10000
50,"quadratic",0.2,2,2,"P_n",1,0,9.19210762463438,10000,10000
50,"quadratic",0.2,2,2,"Hoeffding",0.9987,0.00036032069049667,0.0198192338915214,10000,10000
50,"quadratic",0.2,2,2,"dCov",0.9987,0.00036032069049667,0.322611941213775,10000,10000
50,"quadratic",0.2,2,2,"HHG",1,0,3415.88016637748,10000,10000
50,"quadratic",0.2,2,2,"Genest",0.9988,0.000346202253025595,0.0558048142222184,10000,10000
